,Sample,Folder,LogFile,Experiment,Fish,Voxelsize,Number of reconstructions,OutputNameRec,Size,HeadCrop,TailCrop,SizeCrop
0,ko01,/media/habi/Fast_SSD/Zebrafish_Carolina_Muscles/ko01/rec,/media/habi/Fast_SSD/Zebrafish_Carolina_Muscles/ko01/rec/ko01_rec.log,KO,1,7.99995,2804,/media/habi/Fast_SSD/Zebrafish_Carolina_Muscles/ko01/ko01_rec.zarr,"(2804, 644, 868)",108,2461,"(2353, 644, 868)"
1,ko02,/media/habi/Fast_SSD/Zebrafish_Carolina_Muscles/ko02/rec,/media/habi/Fast_SSD/Zebrafish_Carolina_Muscles/ko02/rec/ko02_rec.log,KO,2,7.99995,2878,/media/habi/Fast_SSD/Zebrafish_Carolina_Muscles/ko02/ko02_rec.zarr,"(2878, 596, 808)",200,2627,"(2427, 596, 808)"
2,ko03,/media/habi/Fast_SSD/Zebrafish_Carolina_Muscles/ko03/rec,/media/habi/Fast_SSD/Zebrafish_Carolina_Muscles/ko03/rec/ko03_rec.log,KO,3,7.99995,2955,/media/habi/Fast_SSD/Zebrafish_Carolina_Muscles/ko03/ko03_rec.zarr,"(2955, 628, 844)",196,2695,"(2499, 628, 844)"
3,ko04,/media/habi/Fast_SSD/Zebrafish_Carolina_Muscles/ko04/rec,/media/habi/Fast_SSD/Zebrafish_Carolina_Muscles/ko04/rec/ko04_rec.log,KO,4,7.99995,2783,/media/habi/Fast_SSD/Zebrafish_Carolina_Muscles/ko04/ko04_rec.zarr,"(2783, 652, 1076)",201,2611,"(2410, 652, 1076)"
4,ko05,/media/habi/Fast_SSD/Zebrafish_Carolina_Muscles/ko05/rec,/media/habi/Fast_SSD/Zebrafish_Carolina_Muscles/ko05/rec/ko05_rec.log,KO,5,7.99995,2696,/media/habi/Fast_SSD/Zebrafish_Carolina_Muscles/ko05/ko05_rec.zarr,"(2696, 756, 816)",197,2442,"(2245, 756, 816)"
5,wt01,/media/habi/Fast_SSD/Zebrafish_Carolina_Muscles/wt01/rec,/media/habi/Fast_SSD/Zebrafish_Carolina_Muscles/wt01/rec/wt01_rec.log,WT,1,7.99995,3156,/media/habi/Fast_SSD/Zebrafish_Carolina_Muscles/wt01/wt01_rec.zarr,"(3156, 736, 984)",141,2807,"(2666, 736, 984)"
6,wt02,/media/habi/Fast_SSD/Zebrafish_Carolina_Muscles/wt02/rec,/media/habi/Fast_SSD/Zebrafish_Carolina_Muscles/wt02/rec/wt02_rec.log,WT,2,7.99995,3211,/media/habi/Fast_SSD/Zebrafish_Carolina_Muscles/wt02/wt02_rec.zarr,"(3211, 724, 1000)",63,2853,"(2790, 724, 1000)"
7,wt03,/media/habi/Fast_SSD/Zebrafish_Carolina_Muscles/wt03/rec,/media/habi/Fast_SSD/Zebrafish_Carolina_Muscles/wt03/rec/wt03_rec.log,WT,3,7.99995,3027,/media/habi/Fast_SSD/Zebrafish_Carolina_Muscles/wt03/wt03_rec.zarr,"(3027, 656, 932)",152,2891,"(2739, 656, 932)"
8,wt04,/media/habi/Fast_SSD/Zebrafish_Carolina_Muscles/wt04/rec,/media/habi/Fast_SSD/Zebrafish_Carolina_Muscles/wt04/rec/wt04_rec.log,WT,4,7.99995,3094,/media/habi/Fast_SSD/Zebrafish_Carolina_Muscles/wt04/wt04_rec.zarr,"(3094, 888, 972)",193,2767,"(2574, 888, 972)"
9,wt05,/media/habi/Fast_SSD/Zebrafish_Carolina_Muscles/wt05/rec,/media/habi/Fast_SSD/Zebrafish_Carolina_Muscles/wt05/rec/wt05_rec.log,WT,5,7.99995,3051,/media/habi/Fast_SSD/Zebrafish_Carolina_Muscles/wt05/wt05_rec.zarr,"(3051, 632, 956)",116,2732,"(2616, 632, 956)"
